@W: CL271 :"H:\work\Part3\P3-Project\Code\Synplify\modules\gdp.sv":27:0:27:8|Pruning bits 30 to 15 of result[31:0] -- not in use ...
@W: CL118 :"H:\work\Part3\P3-Project\Code\Synplify\modules\gdp_controller.sv":126:1:126:2|Latch generated from always block for signal x_buf_5_[15:0]; possible missing assignment in an if or case statement.
@W: CL118 :"H:\work\Part3\P3-Project\Code\Synplify\modules\gdp_controller.sv":126:1:126:2|Latch generated from always block for signal x_buf_4_[15:0]; possible missing assignment in an if or case statement.
@W: CL118 :"H:\work\Part3\P3-Project\Code\Synplify\modules\gdp_controller.sv":126:1:126:2|Latch generated from always block for signal x_buf_3_[15:0]; possible missing assignment in an if or case statement.
@W: CL118 :"H:\work\Part3\P3-Project\Code\Synplify\modules\gdp_controller.sv":126:1:126:2|Latch generated from always block for signal x_buf_2_[15:0]; possible missing assignment in an if or case statement.
@W: CL118 :"H:\work\Part3\P3-Project\Code\Synplify\modules\gdp_controller.sv":126:1:126:2|Latch generated from always block for signal x_buf_1_[15:0]; possible missing assignment in an if or case statement.
@W: CL118 :"H:\work\Part3\P3-Project\Code\Synplify\modules\gdp_controller.sv":126:1:126:2|Latch generated from always block for signal x_buf_0_[15:0]; possible missing assignment in an if or case statement.
@W: CL218 :"H:\work\Part3\P3-Project\Code\Synplify\modules\gdp_controller.sv":126:1:126:2|always_latch does not infer latch logic
@W: CL218 :"H:\work\Part3\P3-Project\Code\Synplify\modules\gdp_controller.sv":126:1:126:2|always_latch does not infer latch logic
@W: CL218 :"H:\work\Part3\P3-Project\Code\Synplify\modules\gdp_controller.sv":126:1:126:2|always_latch does not infer latch logic
@W: CL218 :"H:\work\Part3\P3-Project\Code\Synplify\modules\gdp_controller.sv":126:1:126:2|always_latch does not infer latch logic
@W: CL218 :"H:\work\Part3\P3-Project\Code\Synplify\modules\gdp_controller.sv":126:1:126:2|always_latch does not infer latch logic
@W: CL218 :"H:\work\Part3\P3-Project\Code\Synplify\modules\gdp_controller.sv":126:1:126:2|always_latch does not infer latch logic
@W: CL254 :"H:\work\Part3\P3-Project\Code\Synplify\modules\sram.sv":71:2:71:5|A possible syn_keep on a reg that results in sequential logic - assuming that a tristate can be transmitted through : signal name could change
@W: CL118 :"H:\work\Part3\P3-Project\Code\Synplify\modules\sram.sv":71:2:71:5|Latch generated from always block for signal svbl_105.buffer[15:0]; possible missing assignment in an if or case statement.
@W: CL249 :"H:\work\Part3\P3-Project\Code\Synplify\modules\top_level.sv":93:0:93:8|Initial value is not supported on state machine state
@W: CL249 :"H:\work\Part3\P3-Project\Code\Synplify\modules\sram.sv":32:0:32:8|Initial value is not supported on state machine state
@W: CL249 :"H:\work\Part3\P3-Project\Code\Synplify\modules\send.sv":30:0:30:8|Initial value is not supported on state machine state
@W: CL189 :"H:\work\Part3\P3-Project\Code\Synplify\modules\normaliser.sv":30:0:30:8|Register bit state[2] is always 0, optimizing ...
@W: CL189 :"H:\work\Part3\P3-Project\Code\Synplify\modules\normaliser.sv":30:0:30:8|Register bit state[3] is always 0, optimizing ...
@W: CL189 :"H:\work\Part3\P3-Project\Code\Synplify\modules\normaliser.sv":30:0:30:8|Register bit state[4] is always 0, optimizing ...
@W: CL189 :"H:\work\Part3\P3-Project\Code\Synplify\modules\normaliser.sv":30:0:30:8|Register bit state[5] is always 0, optimizing ...
@W: CL189 :"H:\work\Part3\P3-Project\Code\Synplify\modules\normaliser.sv":30:0:30:8|Register bit state[6] is always 0, optimizing ...
@W: CL189 :"H:\work\Part3\P3-Project\Code\Synplify\modules\normaliser.sv":30:0:30:8|Register bit state[7] is always 0, optimizing ...
@W: CL189 :"H:\work\Part3\P3-Project\Code\Synplify\modules\normaliser.sv":30:0:30:8|Register bit state[8] is always 0, optimizing ...
@W: CL189 :"H:\work\Part3\P3-Project\Code\Synplify\modules\normaliser.sv":30:0:30:8|Register bit state[9] is always 0, optimizing ...
@W: CL189 :"H:\work\Part3\P3-Project\Code\Synplify\modules\normaliser.sv":30:0:30:8|Register bit state[10] is always 0, optimizing ...
@W: CL189 :"H:\work\Part3\P3-Project\Code\Synplify\modules\normaliser.sv":30:0:30:8|Register bit state[11] is always 0, optimizing ...
@W: CL189 :"H:\work\Part3\P3-Project\Code\Synplify\modules\normaliser.sv":30:0:30:8|Register bit state[12] is always 0, optimizing ...
@W: CL189 :"H:\work\Part3\P3-Project\Code\Synplify\modules\normaliser.sv":30:0:30:8|Register bit state[13] is always 0, optimizing ...
@W: CL189 :"H:\work\Part3\P3-Project\Code\Synplify\modules\normaliser.sv":30:0:30:8|Register bit state[14] is always 0, optimizing ...
@W: CL189 :"H:\work\Part3\P3-Project\Code\Synplify\modules\normaliser.sv":30:0:30:8|Register bit state[15] is always 0, optimizing ...
@W: CL189 :"H:\work\Part3\P3-Project\Code\Synplify\modules\normaliser.sv":30:0:30:8|Register bit state[16] is always 0, optimizing ...
@W: CL189 :"H:\work\Part3\P3-Project\Code\Synplify\modules\normaliser.sv":30:0:30:8|Register bit state[17] is always 0, optimizing ...
@W: CL189 :"H:\work\Part3\P3-Project\Code\Synplify\modules\normaliser.sv":30:0:30:8|Register bit state[18] is always 0, optimizing ...
@W: CL189 :"H:\work\Part3\P3-Project\Code\Synplify\modules\normaliser.sv":30:0:30:8|Register bit state[19] is always 0, optimizing ...
@W: CL189 :"H:\work\Part3\P3-Project\Code\Synplify\modules\normaliser.sv":30:0:30:8|Register bit state[20] is always 0, optimizing ...
@W: CL189 :"H:\work\Part3\P3-Project\Code\Synplify\modules\normaliser.sv":30:0:30:8|Register bit state[21] is always 0, optimizing ...
@W: CL189 :"H:\work\Part3\P3-Project\Code\Synplify\modules\normaliser.sv":30:0:30:8|Register bit state[22] is always 0, optimizing ...
@W: CL189 :"H:\work\Part3\P3-Project\Code\Synplify\modules\normaliser.sv":30:0:30:8|Register bit state[23] is always 0, optimizing ...
@W: CL189 :"H:\work\Part3\P3-Project\Code\Synplify\modules\normaliser.sv":30:0:30:8|Register bit state[24] is always 0, optimizing ...
@W: CL189 :"H:\work\Part3\P3-Project\Code\Synplify\modules\normaliser.sv":30:0:30:8|Register bit state[25] is always 0, optimizing ...
@W: CL189 :"H:\work\Part3\P3-Project\Code\Synplify\modules\normaliser.sv":30:0:30:8|Register bit state[26] is always 0, optimizing ...
@W: CL189 :"H:\work\Part3\P3-Project\Code\Synplify\modules\normaliser.sv":30:0:30:8|Register bit state[27] is always 0, optimizing ...
@W: CL189 :"H:\work\Part3\P3-Project\Code\Synplify\modules\normaliser.sv":30:0:30:8|Register bit state[28] is always 0, optimizing ...
@W: CL189 :"H:\work\Part3\P3-Project\Code\Synplify\modules\normaliser.sv":30:0:30:8|Register bit state[29] is always 0, optimizing ...
@W: CL189 :"H:\work\Part3\P3-Project\Code\Synplify\modules\normaliser.sv":30:0:30:8|Register bit state[30] is always 0, optimizing ...
